Scan Id	Parent m/z	TIC	RT	MS Level	Parent Scan	Child Scans	Ion Injection Time	Cycle Time	Elapsed Time	Dead Time	Time To Next Scan	Lock Mass Found	Lock Mass Shift	Conversion Parameter I	Conversion Parameter A	Conversion Parameter B	Conversion Parameter C	Conversion Parameter D	Conversion Parameter E	Dissociation Type	Polymer Segment Size	Polymer Offset	Polymer Score	Polymer p-value	Base Peak m/z	Base Peak Intensity	Second Peak m/z	Second Peak Intensity	Source Current (uA)	Vacuum Ion Gauge (E-5 Torr)	Vacuum Convectron Gauge (Torr)	FT Penning Gauge (E-10 Torr)	FT Pirani Gauge 1 (Torr)	Multiplier 1 (V)	Multiplier 2 (V)	FT CE Measure Voltage (V)	FT Analyzer Temp (C)
8255		1279637900	31.353366	1		2	0.218	0.54096	0	0.54096	0.28668	0	0	0	0	67818033.8551	31643742.9708	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8256	755.05	6293238	31.358144	2	8255	0	50	0	0	0.1551	0.1551	0	0	0	0	67818128.2716	31643831.0796	0	0	hcd	30	0	0	1	753.500314085	464069.625	392.320302558	268404.375	0	0	0	0	0	0	0	0	0
8257	498.34	21725724	31.360729	2	8255	0	50	0	0	0.0991800000001	0.0991800000001	0	0	0	0	67818068.2286	31643775.0482	0	0	hcd	62	52	46	2.14529790612e-011	89.060901612	2191909.25	133.087153833	1388376.625	0	0	0	0	0	0	0	0	0
8258		1190528000	31.362382	1		2	0.215	0.5424	0	0.5424	0.28668	0	0	0	0	67818042.736	31643751.2575	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8259	555.42	16030245	31.36716	2	8258	0	50	0	0	0.15648	0.15648	0	0	0	0	67818089.8648	31643795.2389	0	0	hcd	31	0	0	1	89.0608902713	1711933.375	133.08712841	1025445.8125	0	0	0	0	0	0	0	0	0
8260	410.29	11810663	31.369768	2	8258	0	50	0	0	0.0992399999999	0.0992399999999	0	0	0	0	67818099.9179	31643804.62	0	0	hcd	32	0	0	1	149.024437059	1506292.5	71.0869439268	850552.1875	0	0	0	0	0	0	0	0	0
8261		1111510800	31.371422	1		0	0.219	0.32694	0	0.32694	0.32694	0	0	0	0	67818047.0092	31643755.2464	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8262		1131464100	31.376871	1		5	0.274	0.71412	0	0.71412	0.28668	0	0	0	0	67818021.7733	31643731.6964	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8263	435.29	11203076	31.381649	2	8262	0	50	0	0	0.0818399999999	0.0818399999999	0	0	0	0	67818097.5445	31643802.406	0	0	hcd	30	0	0	1	127.113117801	1147671.125	133.087147809	1000402.75	0	0	0	0	0	0	0	0	0
8264	458.88	12238307	31.383013	2	8262	0	50	0	0	0.0829200000002	0.0829200000002	0	0	0	0	67818097.7652	31643802.6111	0	0	hcd	32	0	0	1	412.849735608	2043800.125	133.087182004	648084.4375	0	0	0	0	0	0	0	0	0
8265	660.95	9553504	31.384395	2	8262	0	50	0	0	0.08274	0.08274	0	0	0	0	67818106.2076	31643810.4894	0	0	hcd	55	44	58	6.80063149614e-012	133.087128051	1689435.625	177.114030886	456883.375	0	0	0	0	0	0	0	0	0
8266	657.48	10742789	31.385774	2	8262	0	50	0	0	0.08088	0.08088	0	0	0	0	67818108.9302	31643813.0302	0	0	hcd	30	0	0	1	329.324080677	776494.0625	101.061120343	763551.3125	0	0	0	0	0	0	0	0	0
8267	417.75	13278222	31.387122	2	8262	0	50	0	0	0.0990599999999	0.0990599999999	0	0	0	0	67818093.8292	31643798.9388	0	0	hcd	32	0	0	1	71.0868727879	1093632.125	127.11310294	972025.375	0	0	0	0	0	0	0	0	0
8268		1368038500	31.388773	1		1	0.196	0.38352	0	0.38352	0.28668	0	0	0	0	67818038.7826	31643747.5693	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8269	793.58	8614913	31.393551	2	8268	0	24.659	0	0	0.09684	0.09684	0	0	0	0	67818137.1293	31643839.346	0	0	hcd	34	1	50	1.97724746856e-006	793.568574611	1440878.75	117.092168047	681320.0625	0	0	0	0	0	0	0	0	0
8270		1485649000	31.395165	1		0	0.214	0.32418	0	0.32418	0.32418	0	0	0	0	67818018.7551	31643728.8789	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8271		1415798800	31.400568	1		0	0.19	0.26754	0	0.26754	0.26754	0	0	0	0	67818037.7576	31643746.613	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8272		1316054700	31.405027	1		4	0.196	0.63144	0	0.63144	0.28656	0	0	0	0	67818042.1272	31643750.6902	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8273	506.86	15122500	31.409803	2	8272	0	50	0	0	0.08382	0.08382	0	0	0	0	67818091.8345	31643797.0764	0	0	hcd	32	0	0	1	89.0609499686	1439776.875	133.08719233	882825.0625	0	0	0	0	0	0	0	0	0
